ts,src,tc,rh,co2,pm1,pm25,pm4,pm10,voc,nox,vb,flags
1787356800,local,20.5,46.0,580,,4.0,,,95,1,,0
1787356800,bedroom,19.3,49.0,573,,,,,,,3.920,0
1787356920,local,20.5,46.0,583,,4.0,,,95,1,,0
1787357040,local,20.6,46.0,586,,4.0,,,95,1,,0
1787357160,local,20.6,46.1,589,,4.0,,,95,1,,0
1787357160,bedroom,19.4,49.1,581,,,,,,,3.919,0
1787357280,local,20.6,46.1,593,,4.1,,,95,1,,0
1787357400,local,20.7,46.1,596,,4.1,,,95,1,,0
1787357400,bedroom,19.5,49.1,586,,,,,,,3.918,0
1787357520,local,20.7,46.1,599,,4.1,,,95,1,,0
1787357640,local,20.7,46.2,602,,4.1,,,95,1,,0
1787357760,local,20.8,46.2,605,,4.1,,,96,1,,0
1787357760,bedroom,19.6,49.2,594,,,,,,,3.918,0
1787357880,local,20.8,46.2,608,,4.1,,,96,1,,0
1787358000,local,20.8,46.2,611,,4.1,,,96,1,,0
1787358000,bedroom,19.6,49.2,600,,,,,,,3.917,0
1787358120,local,20.8,46.2,614,,4.1,,,96,1,,0
1787358240,local,20.9,46.3,617,,4.2,,,96,1,,0
1787358360,local,20.9,46.3,620,,4.2,,,96,1,,0
1787358360,bedroom,19.7,49.3,607,,,,,,,3.916,0
1787358480,local,20.9,46.3,623,,4.2,,,96,1,,0
1787358600,local,21.0,46.3,626,,4.2,,,96,1,,0
1787358600,bedroom,19.8,49.3,612,,,,,,,3.915,0
1787358720,local,21.0,46.4,629,,4.2,,,96,1,,0
1787358840,local,21.0,46.4,632,,4.2,,,96,1,,0
1787358960,local,21.1,46.4,635,,4.2,,,96,1,,0
1787358960,bedroom,19.9,49.4,620,,,,,,,3.914,0
1787359080,local,21.1,46.4,638,,4.3,,,96,1,,0
1787359200,local,21.1,46.4,640,,4.3,,,96,1,,0
1787359200,bedroom,19.9,49.4,624,,,,,,,3.914,0
1787359320,local,21.1,46.5,643,,4.3,,,96,1,,0
1787359440,local,21.2,46.5,646,,4.3,,,96,1,,0
1787359560,local,21.2,46.5,648,,4.3,,,97,1,,0
1787359560,bedroom,20.0,49.5,631,,,,,,,3.913,0
1787359680,local,21.2,46.5,651,,4.3,,,97,1,,0
1787359800,local,21.3,46.6,653,,4.3,,,97,1,,0
1787359800,bedroom,20.1,49.6,635,,,,,,,3.912,0
1787359920,local,21.3,46.6,656,,4.3,,,97,1,,0
1787360040,local,21.3,46.6,658,,4.4,,,97,1,,0
1787360160,local,21.3,46.6,661,,4.4,,,97,1,,0
1787360160,bedroom,20.1,49.6,641,,,,,,,3.911,0
1787360280,local,21.4,46.6,663,,4.4,,,97,1,,0
1787360400,local,21.4,46.7,665,,4.4,,,97,1,,0
1787360400,bedroom,20.2,49.7,645,,,,,,,3.911,0
1787360520,local,21.4,46.7,667,,4.4,,,97,1,,0
1787360640,local,21.5,46.7,669,,4.4,,,97,1,,0
1787360760,local,21.5,46.7,671,,4.4,,,97,1,,0
1787360760,bedroom,20.3,49.7,651,,,,,,,3.910,0
1787360880,local,21.5,46.8,673,,4.4,,,97,1,,0
1787361000,local,21.5,46.8,675,,4.5,,,97,1,,0
1787361000,bedroom,20.3,49.8,654,,,,,,,3.909,0
1787361120,local,21.6,46.8,677,,4.5,,,97,1,,0
1787361240,local,21.6,46.8,679,,4.5,,,97,1,,0
1787361360,local,21.6,46.8,681,,4.5,,,98,1,,0
1787361360,bedroom,20.4,49.8,659,,,,,,,3.908,0
1787361480,local,21.6,46.9,683,,4.5,,,98,1,,0
1787361600,local,21.7,46.9,684,,4.5,,,98,1,,0
1787361600,bedroom,20.5,49.9,662,,,,,,,3.908,0
1787361720,local,21.7,46.9,686,,4.5,,,98,1,,0
1787361840,local,21.7,46.9,687,,4.5,,,98,1,,0
1787361960,local,21.7,46.9,689,,4.6,,,98,1,,0
1787361960,bedroom,20.5,49.9,665,,,,,,,3.907,0
1787362080,local,21.8,47.0,690,,4.6,,,98,1,,0
1787362200,local,21.8,47.0,691,,4.6,,,98,1,,0
1787362200,bedroom,20.6,50.0,667,,,,,,,3.906,0
1787362320,local,21.8,47.0,692,,4.6,,,98,1,,0
1787362440,local,21.8,47.0,693,,4.6,,,98,1,,0
1787362560,local,21.8,47.1,694,,4.6,,,98,1,,0
1787362560,bedroom,20.6,50.1,670,,,,,,,3.905,0
1787362680,local,21.9,47.1,695,,4.6,,,98,1,,0
1787362800,local,21.9,47.1,696,,4.6,,,98,1,,0
1787362800,bedroom,20.7,50.1,672,,,,,,,3.905,0
1787362920,local,21.9,47.1,697,,4.6,,,98,1,,0
1787363040,local,21.9,47.1,698,,4.7,,,98,1,,0
1787363160,local,21.9,47.2,699,,4.7,,,98,1,,0
1787363160,bedroom,20.7,50.2,674,,,,,,,3.904,0
1787363280,local,22.0,47.2,699,,4.7,,,99,1,,0
1787363400,local,22.0,47.2,700,,4.7,,,99,1,,0
1787363400,bedroom,20.8,50.2,675,,,,,,,3.903,0
1787363520,local,22.0,47.2,700,,4.7,,,99,1,,0
1787363640,local,22.0,47.2,701,,4.7,,,99,1,,0
1787363760,local,22.0,47.3,701,,4.7,,,99,1,,0
1787363760,bedroom,20.8,50.3,676,,,,,,,3.902,0
1787363880,local,22.0,47.3,701,,4.7,,,99,1,,0
1787364000,local,22.1,47.3,702,,4.7,,,99,1,,0
1787364000,bedroom,20.9,50.3,676,,,,,,,3.902,0
1787364120,local,22.1,47.3,702,,4.8,,,99,1,,0
1787364240,local,22.1,47.4,702,,4.8,,,99,1,,0
1787364360,local,22.1,47.4,702,,4.8,,,99,1,,0
1787364360,bedroom,20.9,50.4,677,,,,,,,3.901,0
1787364480,local,22.1,47.4,702,,4.8,,,99,1,,0
1787364600,local,22.1,47.4,702,,4.8,,,99,1,,0
1787364600,bedroom,20.9,50.4,677,,,,,,,3.900,0
1787364720,local,22.1,47.4,702,,4.8,,,99,1,,0
1787364840,local,22.2,47.5,701,,4.8,,,99,1,,0
1787364960,local,22.2,47.5,701,,4.8,,,99,1,,0
1787364960,bedroom,21.0,50.5,676,,,,,,,3.899,0
1787365080,local,22.2,47.5,701,,4.8,,,99,1,,0
1787365200,local,22.2,47.5,700,,4.8,,,99,1,,0
